Conf,Conf Abb,Expenses Title,FBS Conference,FBS Conference Labels,Ipeds Id,Make Money?,NCAA Subdivision,Profits Title,Revenues Title,School,School Abb,School | Conf SAA,School | Conf SAA (copy),Schools | SA,Schools | SA Shapes,Total Profit (bin),Year,% of Revenue from Athletics,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities","Annual Debt Service, Leases and Rental Fees on Athletic Facilities Expense",Athletic Student Aid,Athletic Student Aid Expense,Athletics Related Debt,Athletics Related Debt Expense,Coaches Compensation,Competition Guarantees - Paid,Competition Guarantees - Paid Out,Competition Guarantees - Paid Out Expense,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Excess Transfers Back,Excess Transfers Back Expense,Expenses | 2017,Expenses | 2017 YoY,Expenses | 2017 YoY ▲,Expenses | 2017 YoY ▼,Facilities and Equipment,Facilities and Equipment Expense,Game Expenses and Travel,Game Expenses and Travel Expense,Institutional/Government Support,Medical,Medical Expense,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Number of Records,Other Expenses,Other Expenses Expense,Other Revenue,Profit | 2017,Profit | 2017 YoY,Profit | 2017 YoY ▲,Profit | 2017 YoY ▼,Recruiting,Recruiting Expense ,Revenues | 2017,Revenues | 2017 YoY,Revenues | 2017 YoY ▲,Revenues | 2017 YoY ▼,Student Fees,SUM(1),Support and Admin Compensation w/Severance,Support and Admin Compensation w/Severance Expense,Ticket Sales,Total Academic Spending (University-Wide),Total Expenses,Total Expenses Expense,Total Expenses Line Dot,Total Football Coaching Salaries,Total Football Coaching Salaries Expense,Total Football Spending,Total Football Spending Expense,Total Profit,Total Profit Line Dot,Total Revenues,Total Revenues Line Dot,Year | ACC,Year | B10,Year | B12,Year | B12 (copy 2)
False,SUN,Expenses,Sun Belt Conference,Sun,197869,Lost Money,Football Bowl Subdivision,Profits,Revenues,Appalachian State University,APP,,,,► SUN,-2000K,2017,0.284837872,3068275,-3068275,6267280,-6267280,42302594,-42302594,5921036,1893750,22296,-22296,1133383,2918412,0,0,,,,,11390882,-11390882,4409568,-4409568,9448727,466264,-466264,4470878,1,1697430,-1697430,896728,,,,,589564,-589564,,,,,11808731,1,4301246,-4301246,2488012,277121469,35065566,-35065566,,2423144,-2423144,8505084,-8505084,-6945,,35058621,,,,,2
False,P12,Expenses,Pacific-12 Conference,P12,104151,Made Money,Football Bowl Subdivision,Profits,Revenues,Arizona State University,ASU,,,,► P12,2000K,2017,0.581500309,12129000,-12129000,14775932,-14775932,211774000,-211774000,19134263,568500,1491284,-1491284,16611557,19802494,0,0,,,,,25686286,-25686286,8527066,-8527066,8060927,1771453,-1771453,31855182,1,8545549,-8545549,3842275,,,,,1482432,-1482432,,,,,10805444,1,17411130,-17411130,10033481,1870770000,98825395,-98825395,,8332187,-8332187,31724820,-31724820,2754465,,101579860,,,,,2
False,SUN,Expenses,Sun Belt Conference,Sun,106458,Lost Money,Football Bowl Subdivision,Profits,Revenues,Arkansas State University,ARST,,,,► SUN,0K,2017,0.250108955,0,0,6858838,-6858838,0,0,4519859,1974500,594063,-594063,2748570,9594061,0,0,,,,,5814531,-5814531,3289607,-3289607,7753732,235302,-235302,3638599,1,14563139,-14563139,7371617,,,,,546870,-546870,,,,,4870561,1,3036818,-3036818,1507387,153090655,39459027,-39459027,,2437212,-2437212,18996248,-18996248,0,,39459027,,,,,2
False,SEC,Expenses,Southeastern Conference,SEC,100858,Made Money,Football Bowl Subdivision,Profits,Revenues,Auburn University,AUB,,,,► SEC,14000K,2017,0.664839493,11064105,-11064105,15892927,-15892927,96161153,-96161153,23620156,58000,3714155,-3714155,8824420,35411244,0,0,,,,,31531608,-31531608,10961398,-10961398,0,980666,-980666,56197645,1,16030481,-16030481,10395108,,,,,2213392,-2213392,,,,,3633521,1,27941196,-27941196,32991096,830632491,132885979,-132885979,,12216821,-12216821,42868770,-42868770,14625055,,147511034,,,,,2
False,MAC,Expenses,Mid-American Conference,MAC,150136,Lost Money,Football Bowl Subdivision,Profits,Revenues,Ball State University,BALL,,,,► MAC,-2000K,2017,0.205287570,0,0,8367947,-8367947,0,0,5191011,734250,578825,-578825,326339,770198,0,0,,,,,3564043,-3564043,2690372,-2690372,6102097,416564,-416564,3783695,1,1959477,-1959477,568559,,,,,492471,-492471,,,,,13300000,1,4150035,-4150035,513427,406220066,27410745,-27410745,,1696769,-1696769,7755536,-7755536,-1312180,,26098565,,,,,2
False,MWC,Expenses,Mountain West Conference,MWC,142115,Made Money,Football Bowl Subdivision,Profits,Revenues,Boise State University,BSU,,,,► MWC,0K,2017,0.430760050,5455424,-5455424,7798848,-7798848,95365757,-95365757,8558520,546500,834991,-834991,4641861,10328892,0,0,,,,,11822490,-11822490,4919212,-4919212,9442051,716887,-716887,7026574,1,2699512,-2699512,2948272,,,,,745947,-745947,,,,,3173510,1,7360382,-7360382,7378826,290016628,45456789,-45456789,,4081511,-4081511,17382027,-17382027,29697,,45486486,,,,,2
False,MAC,Expenses,Mid-American Conference,MAC,201441,Made Money,Football Bowl Subdivision,Profits,Revenues,Bowling Green State University,BGSU,,,,► MAC,0K,2017,0.257325974,0,0,6666233,-6666233,0,0,5233069,1026846,706000,-706000,631043,2192521,0,0,,,,,1465492,-1465492,2940442,-2940442,3228600,330359,-330359,2911518,1,2032999,-2032999,717330,,,,,500880,-500880,,,,,12653646,1,3878097,-3878097,1941787,291528414,23753571,-23753571,,1653046,-1653046,6348904,-6348904,1549720,,25303291,,,,,2
False,MWC,Expenses,Mountain West Conference,MWC,110556,Made Money,Football Bowl Subdivision,Profits,Revenues,California State University-Fresno,FRES,,,,► MWC,2000K,2017,0.319112378,6260868,-6260868,7044932,-7044932,49335718,-49335718,10714289,1075140,771395,-771395,3443322,9601295,0,0,,,,,5088641,-5088641,5445276,-5445276,16255233,1698283,-1698283,5109547,1,4209043,-4209043,1231438,,,,,676698,-676698,,,,,4379425,1,8470965,-8470965,5119849,348856588,44119522,-44119522,,4273575,-4273575,13419900,-13419900,2095727,,46215249,,,,,2
False,MAC,Expenses,Mid-American Conference,MAC,169248,Made Money,Football Bowl Subdivision,Profits,Revenues,Central Michigan University,CMU,,,,► MAC,2000K,2017,0.187792770,1844513,-1844513,5862595,-5862595,14839158,-14839158,6203506,973300,708954,-708954,685021,2138657,0,0,,,,,6707599,-6707599,4025075,-4025075,25077606,361315,-361315,3959814,1,2409729,-2409729,961467,,,,,520073,-520073,,,,,0,1,4993279,-4993279,896919,365533983,31792125,-31792125,,1981018,-1981018,7845505,-7845505,2900659,,34692784,,,,,2
True,ACC,Expenses,Atlantic Coast Conference,ACC,217882,Made Money,Football Bowl Subdivision,Profits,Revenues,Clemson University,CLEM,CLEM,,,► ACC,0K,2017,0.619976166,9762058,-9762058,16682991,-16682991,130605000,-130605000,19089916,2000,1776484,-1776484,11514471,33782757,0,0,,,,,14853696,-14853696,17141487,-17141487,5472888,492827,-492827,32333171,1,19644226,-19644226,3535405,,,,,1985838,-1985838,,,,,0,1,19458770,-19458770,25960272,726715584,111126235,-111126235,,10931675,-10931675,43921242,-43921242,1474729,,112600964,,2017,,,1
False,SUN,Expenses,Sun Belt Conference,Sun,218724,Lost Money,Football Bowl Subdivision,Profits,Revenues,Coastal Carolina University,CCU,,,,► SUN,-2000K,2017,0.124801351,2579552,-2579552,8621818,-8621818,33971971,-33971971,5553763,153000,937087,-937087,1171379,1040710,0,0,,,,,9253031,-9253031,3595153,-3595153,23531128,122883,-122883,2089334,1,1357198,-1357198,205687,,,,,565120,-565120,,,,,4720165,1,3698430,-3698430,792591,199370861,33704483,-33704483,,1718546,-1718546,9504369,-9504369,-489,,33703994,,,,,2
